Formula,Volume,Mass,Energy,Heat_of_formation,Electronegativity_A,Electronegativity_B,First_Ionization_energy_A,First_Ionization_energy_B,Radius_A,Radius_B,PBE,G0W0
CrS2,144.363,116.116,-19.583,-0.673,1.66,2.58,652.9,999.6,166,88,0.877,1.448
CrSe2,161.958,209.938,-17.832,-0.486,1.66,2.55,652.9,941,166,103,0.685,1.165
CrTe2,192.019,307.196,-16.136,-0.106,1.66,2.12,652.9,869.3,166,123,0.453,0.812
HfO2,155.424,210.488,-27.664,-3.303,1.32,3.44,658.5,1313.9,208,48,4.777,7.939
HfO2,146.349,210.488,-25.997,-2.748,1.32,3.44,658.5,1313.9,208,48,1.928,4.7
HfS2,206.673,242.61,-20.439,-1.592,1.32,2.58,658.5,999.6,208,88,1.221,2.941
HfSe2,223.633,336.432,-18.519,-1.349,1.32,2.55,658.5,941,208,103,0.427,1.795
HfSe2,214.984,336.432,-17.998,-1.175,1.32,2.55,658.5,941,208,103,0.812,2.123
HfTe2,247.391,433.69,-16.008,-0.697,1.32,2.12,658.5,869.3,208,123,0.132,0.849
MoO2,120.22,127.948,-27.388,-1.979,2.16,3.44,684.3,1313.9,190,48,0.912,2.317
MoS2,159.156,160.07,-22.121,-0.921,2.16,2.58,684.3,999.6,190,88,1.58,2.533
MoSe2,175.023,253.892,-20.291,-0.708,2.16,2.55,684.3,941,190,103,1.321,2.119
MoTe2,202.815,351.15,-18.513,-0.3,2.16,2.12,684.3,869.3,190,123,0.932,1.563
NiO2,118.006,90.691,-19.622,-0.709,1.92,3.44,737.1,1313.9,149,48,1.281,2.346
PbO2,171.588,239.198,-16.418,-0.804,1.87,3.44,715.6,1313.9,154,48,1.346,2.995
PbS2,231.897,271.32,-11.928,-0.004,1.87,2.58,715.6,999.6,154,88,0.755,1.763
PbS2,331.893,271.32,-12.477,-0.187,1.87,2.58,715.6,999.6,154,88,1.39,3.184
PbSe2,254.003,365.142,-10.848,-0.041,1.87,2.55,715.6,941,154,103,0.082,0.389
PbSe2,359.022,365.142,-11.35,-0.208,1.87,2.55,715.6,941,154,103,1.027,2.644
PdO2,140.572,138.418,-15.267,-0.4,2.2,3.44,804.4,1313.9,169,48,1.379,2.903
PdS2,191.254,170.54,-12.563,-0.196,2.2,2.58,804.4,999.6,169,88,1.171,2.441
